"","ID","Title","country","BLFamilyLatin","common_name","subject.type","Age.Class","toxicant.specific","toxicant.group","sample.type","sample.size","exposed","BodyMass.Value","Diet.Inv","Diet.Scav","concentration","concentration.level.estimate.type","Detection.limit..if.reported.","unit.of.measure","sublethal.effects.assessed.","sublethal.specific","sublethal.type"
"14",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",5,NA,4729.27,0,30,390,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"15",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","DDE","organochlorine insecticides","egg(s)",1,NA,4729.27,0,30,250,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"16",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",1,NA,4729.27,0,30,310,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"17",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","DDE","organochlorine insecticides","egg(s)",3,NA,4729.27,0,30,130,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"18",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",3,NA,4729.27,0,30,250,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"19",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","DDE","organochlorine insecticides","egg(s)",10,NA,4729.27,0,30,57,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"20",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",10,NA,4729.27,0,30,200,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"21",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","DDE","organochlorine insecticides","egg(s)",5,NA,4729.27,0,30,33,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"22",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",5,NA,4729.27,0,30,130,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"23",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","DDE","organochlorine insecticides","egg(s)",10,NA,4729.27,0,30,20,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"24",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",10,NA,4729.27,0,30,76,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"25",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","DDE","organochlorine insecticides","egg(s)",6,NA,4729.27,0,30,14,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"26",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",6,NA,4729.27,0,30,51,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"27",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","DDE","organochlorine insecticides","egg(s)",3,NA,4729.27,0,30,110,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"28",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",3,NA,4729.27,0,30,310,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"29",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","DDE","organochlorine insecticides","egg(s)",4,NA,4729.27,0,30,49,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"30",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",4,NA,4729.27,0,30,190,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"31",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","DDE","organochlorine insecticides","egg(s)",2,NA,4729.27,0,30,78,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"32",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",2,NA,4729.27,0,30,560,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"33",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","p,p'-DDE","organochlorine insecticides","blood",6,6,112,70,0,4.8,"arithmetic mean","0.02","ng g-1","no","none","none"
"34",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","HCB (Hexachlorobenzene)","organochlorine insecticides","blood",6,NA,112,70,0,NA,"arithmetic mean","0.02","ng g-1","no","none","none"
"35",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BDE 100","flame retardants","feathers - tail/retrices",6,6,112,70,0,0.01,"arithmetic mean","0.01","ng g-1","no","none","none"
"36",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","p,p'-DDE","organochlorine insecticides","feathers - tail/retrices",6,6,112,70,0,25.78,"arithmetic mean","0.05","ng g-1","no","none","none"
"37",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BDE 99","flame retardants","feathers - tail/retrices",6,6,112,70,0,0.31,"arithmetic mean","0.01","ng g-1","no","none","none"
"38",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BDE 154","flame retardants","feathers - tail/retrices",6,NA,112,70,0,NA,"arithmetic mean","0.01","ng g-1","no","none","none"
"39",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BDE 153","flame retardants","feathers - tail/retrices",6,6,112,70,0,0.2,"arithmetic mean","0.01","ng g-1","no","none","none"
"40",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BDE 183","flame retardants","feathers - tail/retrices",6,NA,112,70,0,NA,"arithmetic mean","0.01","ng g-1","no","none","none"
"41",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BDE 28","flame retardants","feathers - tail/retrices",6,NA,112,70,0,NA,"arithmetic mean","0.01","ng g-1","No","none","none"
"42",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","p,p'-DDT","organochlorine insecticides","blood",6,NA,112,70,0,NA,"arithmetic mean","0.02","ng g-1","no","none","none"
"43",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BTBPE","flame retardants","feathers - tail/retrices",6,NA,112,70,0,NA,"arithmetic mean","3*SD of procedural blank","ng g-1","no","none","none"
"44",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BDE 47","flame retardants","feathers - tail/retrices",6,6,112,70,0,0.25,"arithmetic mean","0.01","ng g-1","no","none","none"
"45",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","HCB (Hexachlorobenzene)","organochlorine insecticides","feathers - tail/retrices",6,6,112,70,0,0.09,"arithmetic mean","0.02","ng g-1","no","none","none"
"46",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BTBPE","flame retardants","blood",6,NA,112,70,0,NA,"arithmetic mean","3*SD of procedural blank","ng g-1","no","none","none"
"47",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","Sum of all PBDEs","flame retardants","blood",6,6,112,70,0,1.61,"arithmetic mean","3*SD of procedural blank","ng g-1","no","none","none"
"48",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BDE 183","flame retardants","blood",6,NA,112,70,0,NA,"arithmetic mean","4.00E-03","ng g-1","no","none","none"
"49",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BDE 153","flame retardants","blood",6,6,112,70,0,0.17,"arithmetic mean","4.00E-03","ng g-1","no","none","none"
"50",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BDE 154","flame retardants","blood",6,NA,112,70,0,NA,"arithmetic mean","4.00E-03","ng g-1","no","none","none"
"51",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BDE 99","flame retardants","blood",6,6,112,70,0,0.47,"arithmetic mean","2.00E-03","ng g-1","no","none","none"
"52",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BDE 100","flame retardants","blood",6,6,112,70,0,0.37,"arithmetic mean","2.00E-03","ng g-1","no","none","none"
"53",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BDE 47","flame retardants","blood",6,6,112,70,0,0.63,"arithmetic mean","2.00E-03","ng g-1","no","none","none"
"54",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","BDE 28","flame retardants","blood",6,NA,112,70,0,NA,"arithmetic mean","2.00E-03","ng g-1","No","none","none"
"55",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","p,p'-DDT","organochlorine insecticides","feathers - tail/retrices",6,6,112,70,0,10.68,"arithmetic mean","0.05","ng g-1","no","none","none"
"56",112,"Oxidative stress responses in","Pakistan","Strigidae","Spotted Owlet","wild","adult","Sum of all PBDEs","flame retardants","feathers - tail/retrices",6,6,112,70,0,1.88,"arithmetic mean","3*SD of procedural blank","ng g-1","no","none","none"
"57",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","p,p'-DDT","organochlorine insecticides","feathers - tail/retrices",8,8,734.1,0,70,4.97,"arithmetic mean","0.05","ng g-1","no","none","none"
"58",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BDE 47","flame retardants","blood",8,8,734.1,0,70,0.53,"arithmetic mean","2.00E-03","ng g-1","no","none","none"
"59",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BDE 100","flame retardants","blood",8,8,734.1,0,70,0.03,"arithmetic mean","2.00E-03","ng g-1","no","none","none"
"60",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BDE 99","flame retardants","blood",8,8,734.1,0,70,0.11,"arithmetic mean","2.00E-03","ng g-1","no","none","none"
"61",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BDE 28","flame retardants","feathers - tail/retrices",8,8,734.1,0,70,0.07,"arithmetic mean","0.01","ng g-1","No","none","none"
"62",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","HCB (Hexachlorobenzene)","organochlorine insecticides","feathers - tail/retrices",8,8,734.1,0,70,0.13,"arithmetic mean","0.02","ng g-1","no","none","none"
"63",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","p,p'-DDE","organochlorine insecticides","feathers - tail/retrices",8,8,734.1,0,70,5.57,"arithmetic mean","0.05","ng g-1","no","none","none"
"64",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BTBPE","flame retardants","blood",8,NA,734.1,0,70,NA,"arithmetic mean","3*SD of procedural blank","ng g-1","no","none","none"
"65",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","Sum of all PBDEs","flame retardants","blood",8,8,734.1,0,70,1.17,"arithmetic mean","3*SD of procedural blank","ng g-1","no","none","none"
"66",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BDE 183","flame retardants","blood",8,NA,734.1,0,70,NA,"arithmetic mean","4.00E-03","ng g-1","no","none","none"
"67",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BDE 153","flame retardants","blood",8,8,734.1,0,70,0.03,"arithmetic mean","4.00E-03","ng g-1","no","none","none"
"68",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BDE 154","flame retardants","blood",8,NA,734.1,0,70,NA,"arithmetic mean","4.00E-03","ng g-1","no","none","none"
"69",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","HCB (Hexachlorobenzene)","organochlorine insecticides","blood",8,NA,734.1,0,70,NA,"arithmetic mean","0.02","ng g-1","no","none","none"
"70",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","p,p'-DDT","organochlorine insecticides","blood",8,NA,734.1,0,70,NA,"arithmetic mean","0.02","ng g-1","no","none","none"
"71",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BDE 47","flame retardants","feathers - tail/retrices",8,8,734.1,0,70,0.74,"arithmetic mean","0.01","ng g-1","no","none","none"
"72",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BDE 100","flame retardants","feathers - tail/retrices",8,8,734.1,0,70,0.21,"arithmetic mean","0.01","ng g-1","no","none","none"
"73",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BTBPE","flame retardants","feathers - tail/retrices",8,8,734.1,0,70,0.14,"arithmetic mean","3*SD of procedural blank","ng g-1","no","none","none"
"74",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","Sum of all PBDEs","flame retardants","feathers - tail/retrices",8,8,734.1,0,70,2.63,"arithmetic mean","3*SD of procedural blank","ng g-1","no","none","none"
"75",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BDE 183","flame retardants","feathers - tail/retrices",8,8,734.1,0,70,0.3,"arithmetic mean","0.01","ng g-1","no","none","none"
"76",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","p,p'-DDE","organochlorine insecticides","blood",8,8,734.1,0,70,1.56,"arithmetic mean","0.02","ng g-1","no","none","none"
"77",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BDE 99","flame retardants","feathers - tail/retrices",8,8,734.1,0,70,0.93,"arithmetic mean","0.01","ng g-1","no","none","none"
"78",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BDE 28","flame retardants","blood",8,NA,734.1,0,70,NA,"arithmetic mean","2.00E-03","ng g-1","No","none","none"
"79",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BDE 154","flame retardants","feathers - tail/retrices",8,8,734.1,0,70,0.15,"arithmetic mean","0.01","ng g-1","no","none","none"
"80",112,"Oxidative stress responses in","Pakistan","Accipitridae","Black Kite","wild","adult","BDE 153","flame retardants","feathers - tail/retrices",8,8,734.1,0,70,0.17,"arithmetic mean","0.01","ng g-1","no","none","none"
"81",113,"SECONDARY ANTICOAGULANT RODENT","United States of America","Accipitridae","Red-tailed Hawk","wild","juvenile","chlorophacinone","anticoagulant rodenticides","blood",97,3,1101.16,10,0,NA,NA,"UNK",NA,"yes","Body Condition","Morphology"
"82",113,"SECONDARY ANTICOAGULANT RODENT","United States of America","Accipitridae","Red-tailed Hawk","wild","juvenile","bromadiolone","anticoagulant rodenticides","blood",97,1,1101.16,10,0,NA,NA,"UNK",NA,"no","Body Condition","Morphology"
"83",113,"SECONDARY ANTICOAGULANT RODENT","United States of America","Accipitridae","Red-tailed Hawk","wild","juvenile","diphacinone","anticoagulant rodenticides","blood",97,5,1101.16,10,0,NA,NA,"UNK",NA,"no","Body Condition","Morphology"
"84",113,"SECONDARY ANTICOAGULANT RODENT","United States of America","Accipitridae","Red-tailed Hawk","wild","juvenile","brodifacoum","anticoagulant rodenticides","blood",97,1,1101.16,10,0,NA,NA,"UNK",NA,"no","Body Condition","Morphology"
"85",115,"Mercury, methylmercury, and se","Spain","Accipitridae","Western Marsh-harrier","wild","nestling","MeHg","heavy metals","blood",15,NA,704.07,10,0,88,"geometric mean",NA,"percent","no","none","none"
"86",115,"Mercury, methylmercury, and se","Spain","Accipitridae","Western Marsh-harrier","wild","nestling","Hg","heavy metals","blood",15,NA,704.07,10,0,43.2,"geometric mean",NA,"ng/mL","no","none","none"
"87",115,"Mercury, methylmercury, and se","Spain","Accipitridae","Western Marsh-harrier","wild","nestling","Se","heavy metals","blood",15,NA,704.07,10,0,299,"geometric mean",NA,"ng/mL","no","none","none"
"88",115,"Mercury, methylmercury, and se","Spain","Falconidae","Peregrine Falcon","wild","nestling","Se","heavy metals","blood",8,NA,759.95,10,0,293,"geometric mean","1.3 ng/mL","ng/mL","no","none","none"
"89",115,"Mercury, methylmercury, and se","Spain","Falconidae","Peregrine Falcon","wild","adult","Hg","heavy metals","blood",3,NA,759.95,10,0,567,"geometric mean","See Notes","ng/mL","no","none","none"
"90",115,"Mercury, methylmercury, and se","Spain","Falconidae","Peregrine Falcon","wild","adult","MeHg","heavy metals","blood",3,NA,759.95,10,0,99,"geometric mean",NA,"percent","no","none","none"
"91",115,"Mercury, methylmercury, and se","Spain","Falconidae","Peregrine Falcon","wild","adult","Se","heavy metals","blood",3,NA,759.95,10,0,538,"geometric mean","1.3 ng/mL","ng/mL","no","none","none"
"92",115,"Mercury, methylmercury, and se","Spain","Falconidae","Peregrine Falcon","wild","nestling","Hg","heavy metals","blood",3,NA,759.95,10,0,71.9,"geometric mean","See Notes","ng/mL","no","none","none"
"93",115,"Mercury, methylmercury, and se","Spain","Falconidae","Peregrine Falcon","wild","nestling","MeHg","heavy metals","blood",3,NA,759.95,10,0,95,"geometric mean",NA,"percent","no","none","none"
"94",115,"Mercury, methylmercury, and se","Spain","Falconidae","Peregrine Falcon","wild","nestling","Se","heavy metals","blood",3,NA,759.95,10,0,439,"geometric mean","1.3 ng/mL","ng/mL","no","none","none"
"95",115,"Mercury, methylmercury, and se","Spain","Falconidae","Peregrine Falcon","wild","adult","Hg","heavy metals","blood",7,NA,759.95,10,0,99.4,"geometric mean","See Notes","ng/mL","no","none","none"
"96",115,"Mercury, methylmercury, and se","Spain","Falconidae","Peregrine Falcon","wild","adult","MeHg","heavy metals","blood",7,NA,759.95,10,0,96,"geometric mean",NA,"percent","no","none","none"
"97",115,"Mercury, methylmercury, and se","Spain","Falconidae","Peregrine Falcon","wild","adult","Se","heavy metals","blood",7,NA,759.95,10,0,359,"geometric mean","1.3 ng/mL","ng/mL","no","none","none"
"98",115,"Mercury, methylmercury, and se","Spain","Falconidae","Peregrine Falcon","wild","nestling","MeHg","heavy metals","blood",8,NA,759.95,10,0,97,"geometric mean",NA,"percent","no","none","none"
"99",115,"Mercury, methylmercury, and se","Spain","Falconidae","Peregrine Falcon","wild","nestling","Hg","heavy metals","blood",8,NA,759.95,10,0,54.8,"geometric mean","See Notes","ng/mL","no","none","none"
"100",116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Heptachlor","organochlorine insecticides","blood",15,4,75.1,60,0,0.06,"arithmetic mean","See general notes","µg/mL","no","none","none"
"101",116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of HCH","organochlorine insecticides","feathers - body",20,6,75.1,60,0,0.63,"arithmetic mean","See general notes","µg/g","no","none","none"
"102",116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Heptachlor","organochlorine insecticides","feathers - body",20,14,75.1,60,0,0.03,"arithmetic mean","See general notes","µg/g","no","none","none"
"103",116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Drines","organochlorine insecticides","feathers - body",20,8,75.1,60,0,0.03,"arithmetic mean","See general notes","µg/g","no","none","none"
"104",116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of DDT","organochlorine insecticides","feathers - body",20,11,75.1,60,0,0.04,"arithmetic mean","See general notes","µg/g","no","none","none"
"105",116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Endosulfan","organochlorine insecticides","feathers - body",20,14,75.1,60,0,0.34,"arithmetic mean","See general notes","µg/g","no","none","none"
"106",116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Chlordane","organochlorine insecticides","feathers - body",20,5,75.1,60,0,0.01,"arithmetic mean","See general notes","µg/g","no","none","none"
"107",116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of HCH","organochlorine insecticides","blood",15,11,75.1,60,0,0.08,"arithmetic mean","See general notes","µg/mL","no","none","none"
"108",116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Drines","organochlorine insecticides","blood",15,15,75.1,60,0,0.31,"arithmetic mean","See general notes","µg/mL","no","none","none"
"109",116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of DDT","organochlorine insecticides","blood",15,11,75.1,60,0,0.05,"arithmetic mean","See general notes","µg/mL","no","none","none"
"110",116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Endosulfan","organochlorine insecticides","blood",15,9,75.1,60,0,0.06,"arithmetic mean","See general notes","µg/mL","no","none","none"
"111",116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Chlordane","organochlorine insecticides","blood",15,2,75.1,60,0,0.05,"arithmetic mean","See general notes","µg/mL","no","none","none"
"112",116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Methoxychlor","organochlorine insecticides","blood",15,8,75.1,60,0,0.05,"arithmetic mean","See general notes","µg/mL","no","none","none"
"113",116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Methoxychlor","organochlorine insecticides","feathers - body",20,2,75.1,60,0,0.03,"arithmetic mean","See general notes","µg/g","no","none","none"
"114",131,"MONITORING ORGANOCHLORINES IN","Canada",NA,"Sharp-shinned hawk","wild","HY","DDE","organochlorine insecticides","blood plasma",4,NA,NA,NA,NA,0.043,"not specified","0.0005 mg/kg","mg/kg","no",NA,NA
"115",131,"MONITORING ORGANOCHLORINES IN","United States of America",NA,"Sharp-shinned hawk","wild","SY","DDE","organochlorine insecticides","blood plasma",8,NA,NA,NA,NA,0.21,"not specified","0.0005 mg/kg","mg/kg","no",NA,NA
"116",131,"MONITORING ORGANOCHLORINES IN","United States of America",NA,"Sharp-shinned hawk","wild","ASY","DDE","organochlorine insecticides","blood plasma",16,NA,NA,NA,NA,0.212,"not specified","0.0005 mg/kg","mg/kg","no",NA,NA
"117",131,"MONITORING ORGANOCHLORINES IN","United States of America",NA,"Sharp-shinned hawk","wild","SY","DDE","organochlorine insecticides","blood plasma",3,NA,NA,NA,NA,0.254,"not specified","0.0005 mg/kg","mg/kg","no",NA,NA
"118",131,"MONITORING ORGANOCHLORINES IN","United States of America",NA,"Sharp-shinned hawk","wild","ASY","DDE","organochlorine insecticides","blood plasma",6,NA,NA,NA,NA,0.275,"not specified","0.0005 mg/kg","mg/kg","no",NA,NA
