"","X","ID","Title","country","BLFamilyLatin","common_name","subject.type","Age.Class","toxicant.specific","toxicant.group","sample.type","sample.size","exposed","proportion","BodyMass.Value","Diet.Inv","Diet.Scav","concentration","unit.of.measure","Continent"
"36",36,113,"SECONDARY ANTICOAGULANT RODENT","United States of America","Accipitridae","Red-tailed Hawk","wild","juvenile","brodifacoum","anticoagulant rodenticides","blood",97,1,0.0103092783505155,1101.16,10,0,NA,NA,"N. America"
"37",37,116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Heptachlor","organochlorine insecticides","blood",15,4,0.266666666666667,75.1,60,0,0.06,"µg/mL","S. America"
"38",38,116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of HCH","organochlorine insecticides","feathers - body",20,6,0.3,75.1,60,0,0.63,"µg/g","S. America"
"39",39,116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Heptachlor","organochlorine insecticides","feathers - body",20,14,0.7,75.1,60,0,0.03,"µg/g","S. America"
"40",40,116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Drines","organochlorine insecticides","feathers - body",20,8,0.4,75.1,60,0,0.03,"µg/g","S. America"
"41",41,116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of DDT","organochlorine insecticides","feathers - body",20,11,0.55,75.1,60,0,0.04,"µg/g","S. America"
"42",42,116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Endosulfan","organochlorine insecticides","feathers - body",20,14,0.7,75.1,60,0,0.34,"µg/g","S. America"
"43",43,116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Chlordane","organochlorine insecticides","feathers - body",20,5,0.25,75.1,60,0,0.01,"µg/g","S. America"
"44",44,116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of HCH","organochlorine insecticides","blood",15,11,0.733333333333333,75.1,60,0,0.08,"µg/mL","S. America"
"45",45,116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Drines","organochlorine insecticides","blood",15,15,1,75.1,60,0,0.31,"µg/mL","S. America"
"46",46,116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of DDT","organochlorine insecticides","blood",15,11,0.733333333333333,75.1,60,0,0.05,"µg/mL","S. America"
"47",47,116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Endosulfan","organochlorine insecticides","blood",15,9,0.6,75.1,60,0,0.06,"µg/mL","S. America"
"48",48,116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Sum of Chlordane","organochlorine insecticides","blood",15,2,0.133333333333333,75.1,60,0,0.05,"µg/mL","S. America"
"49",49,116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Methoxychlor","organochlorine insecticides","blood",15,8,0.533333333333333,75.1,60,0,0.05,"µg/mL","S. America"
"50",50,116,"Organochlorine pesticides in t","Mexico","Strigidae","Ferruginous Pygmy-owl","wild","unknown/mixed","Methoxychlor","organochlorine insecticides","feathers - body",20,2,0.1,75.1,60,0,0.03,"µg/g","S. America"
"51",51,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","brodifacoum","anticoagulant rodenticides","liver",6,4,0.666666666666667,NA,NA,NA,NA,"ppb","N. America"
"52",52,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","juvenile","brodifacoum","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"53",53,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","subadult","brodifacoum","anticoagulant rodenticides","liver",1,1,1,NA,NA,NA,NA,"ppb","N. America"
"54",54,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","brodifacoum","anticoagulant rodenticides","liver",1,1,1,NA,NA,NA,NA,"ppb","N. America"
"55",55,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","bromadiolone","anticoagulant rodenticides","liver",6,2,0.333333333333333,NA,NA,NA,NA,"ppb","N. America"
"56",56,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","juvenile","bromadiolone","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"57",57,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","subadult","bromadiolone","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"58",58,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","bromadiolone","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"59",59,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","warfarin","anticoagulant rodenticides","liver",6,0,0,NA,NA,NA,NA,"ppb","N. America"
"60",60,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","juvenile","warfarin","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"61",61,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","subadult","warfarin","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"62",62,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","warfarin","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"63",63,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","diphacinone","anticoagulant rodenticides","liver",6,0,0,NA,NA,NA,NA,"ppb","N. America"
"64",64,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","juvenile","diphacinone","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"65",65,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","subadult","diphacinone","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"66",66,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","diphacinone","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"67",67,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","chlorophacinone","anticoagulant rodenticides","liver",6,0,0,NA,NA,NA,NA,"ppb","N. America"
"68",68,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","juvenile","chlorophacinone","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"69",69,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","subadult","chlorophacinone","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"70",70,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","chlorophacinone","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"71",71,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","coumachlor","anticoagulant rodenticides","liver",6,0,0,NA,NA,NA,NA,"ppb","N. America"
"72",72,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","juvenile","coumachlor","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"73",73,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","subadult","coumachlor","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"74",74,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","coumachlor","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"75",75,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","difethialone","anticoagulant rodenticides","liver",6,0,0,NA,NA,NA,NA,"ppb","N. America"
"76",76,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","juvenile","difethialone","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"77",77,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","subadult","difethialone","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"78",78,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","difethialone","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"79",79,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","difenacoum","anticoagulant rodenticides","liver",6,0,0,NA,NA,NA,NA,"ppb","N. America"
"80",80,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","juvenile","difenacoum","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"81",81,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","subadult","difenacoum","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"82",82,142,"Exposure to rodenticides in No","United States of America",NA,"spotted owl","wild","adult","difenacoum","anticoagulant rodenticides","liver",1,0,0,NA,NA,NA,NA,"ppb","N. America"
"83",83,145,"Unexpected high PCB and total","Spain","Accipitridae","Red Kite","wild","egg","TDE","organochlorine insecticides","eggs",12,12,1,1071.77,0,70,0.2,"ng/g","Europe"
"84",84,145,"Unexpected high PCB and total","Spain","Accipitridae","Red Kite","wild","egg","Total PCDD/F","organochlorine insecticides","eggs",12,12,1,1071.77,0,70,23,"pg/g","Europe"
"85",85,145,"Unexpected high PCB and total","Spain","Accipitridae","Red Kite","wild","egg","DDT","organochlorine insecticides","eggs",12,12,1,1071.77,0,70,207,"ng/g","Europe"
"86",86,145,"Unexpected high PCB and total","Spain","Accipitridae","Red Kite","wild","egg","Total TEQs","organochlorine insecticides","eggs",12,12,1,1071.77,0,70,238,"pg/g","Europe"
"87",87,145,"Unexpected high PCB and total","Spain","Accipitridae","Red Kite","wild","egg","DDE","organochlorine insecticides","eggs",12,12,1,1071.77,0,70,9316,"ng/g","Europe"
"88",88,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Dieldrin","organochlorine insecticides","adipose",2,1,0.5,759.95,10,0,0.03,"ng/g","Europe"
"89",89,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Endosulfan sulfate","organochlorine insecticides","adipose",2,1,0.5,759.95,10,0,0.09,"ng/g","Europe"
"90",90,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Endosulfan II","organochlorine insecticides","adipose",2,1,0.5,7435.99,0,100,0.06,"ng/g","Europe"
"91",91,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Dieldrin","organochlorine insecticides","adipose",2,1,0.5,7435.99,0,100,0.06,"ng/g","Europe"
"92",92,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","DDD","organochlorine insecticides","adipose",2,1,0.5,7435.99,0,100,0.07,"ng/g","Europe"
"93",93,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","d-HCH","organochlorine insecticides","adipose",2,1,0.5,759.95,10,0,0.07,"ng/g","Europe"
"94",94,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","b-HCH","organochlorine insecticides","adipose",2,2,1,7435.99,0,100,0.94,"ng/g","Europe"
"95",95,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Heptachlor epoxide","organochlorine insecticides","adipose",2,2,1,759.95,10,0,0.34,"ng/g","Europe"
"96",96,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","DDT","organochlorine insecticides","adipose",2,1,0.5,7435.99,0,100,0.14,"ng/g","Europe"
"97",97,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","DDT","organochlorine insecticides","adipose",2,1,0.5,759.95,10,0,0.16,"ng/g","Europe"
"98",98,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","DDD","organochlorine insecticides","adipose",2,2,1,759.95,10,0,0.39,"ng/g","Europe"
"99",99,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","a-HCH","organochlorine insecticides","adipose",2,1,0.5,759.95,10,0,0.25,"ng/g","Europe"
"100",100,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Heptachlor","organochlorine insecticides","adipose",2,1,0.5,7435.99,0,100,0.26,"ng/g","Europe"
"101",101,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Lindane","organochlorine insecticides","adipose",2,1,0.5,759.95,10,0,0.38,"ng/g","Europe"
"102",102,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Total HCHs","organochlorine insecticides","adipose",2,2,1,759.95,10,0,3.18,"ng/g","Europe"
"103",103,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Lindane","organochlorine insecticides","adipose",2,2,1,7435.99,0,100,3.39,"ng/g","Europe"
"104",104,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","DDE","organochlorine insecticides","adipose",2,2,1,7435.99,0,100,32.38,"ng/g","Europe"
"105",105,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Total DDTs","organochlorine insecticides","adipose",2,2,1,7435.99,0,100,33.44,"ng/g","Europe"
"106",106,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","a-HCH","organochlorine insecticides","adipose",2,2,1,7435.99,0,100,17.87,"ng/g","Europe"
"107",107,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Total HCHs","organochlorine insecticides","adipose",2,2,1,7435.99,0,100,23.77,"ng/g","Europe"
"108",108,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","DDE","organochlorine insecticides","adipose",2,2,1,759.95,10,0,156.02,"ng/g","Europe"
"109",109,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Total DDTs","organochlorine insecticides","adipose",2,2,1,759.95,10,0,160.25,"ng/g","Europe"
"110",110,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","a-HCH","organochlorine insecticides","adipose",1,1,1,704.07,10,0,150.6,"ng/g","Europe"
"111",111,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","b-HCH","organochlorine insecticides","adipose",1,1,1,704.07,10,0,15.08,"ng/g","Europe"
"112",112,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Lindane","organochlorine insecticides","adipose",1,1,1,704.07,10,0,33.96,"ng/g","Europe"
"113",113,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","d-HCH","organochlorine insecticides","adipose",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"114",114,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Total HCHs","organochlorine insecticides","adipose",1,1,1,704.07,10,0,199.64,"ng/g","Europe"
"115",115,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Heptachlor","organochlorine insecticides","adipose",1,1,1,704.07,10,0,2.4,"ng/g","Europe"
"116",116,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Heptachlor epoxide","organochlorine insecticides","adipose",1,1,1,704.07,10,0,14.21,"ng/g","Europe"
"117",117,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Chlordane","organochlorine insecticides","adipose",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"118",118,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Endosulfan I","organochlorine insecticides","adipose",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"119",119,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Endosulfan II","organochlorine insecticides","adipose",1,1,1,704.07,10,0,7.28,"ng/g","Europe"
"120",120,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Endosulfan sulfate","organochlorine insecticides","adipose",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"121",121,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Aldrin","organochlorine insecticides","adipose",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"122",122,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Dieldrin","organochlorine insecticides","adipose",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"123",123,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Endrin","organochlorine insecticides","adipose",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"124",124,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Endrin aldehyde","organochlorine insecticides","adipose",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"125",125,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Endrin ketone","organochlorine insecticides","adipose",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"126",126,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","DDE","organochlorine insecticides","adipose",1,1,1,704.07,10,0,1627.98,"ng/g","Europe"
"127",127,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","DDD","organochlorine insecticides","adipose",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"128",128,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","DDT","organochlorine insecticides","adipose",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"129",129,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Methoxychlor","organochlorine insecticides","adipose",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"130",130,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Total DDTs","organochlorine insecticides","adipose",1,1,1,704.07,10,0,1627.98,"ng/g","Europe"
"131",131,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","d-HCH","organochlorine insecticides","adipose",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"132",132,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Heptachlor epoxide","organochlorine insecticides","adipose",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"133",133,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Chlordane","organochlorine insecticides","adipose",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"134",134,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Endosulfan I","organochlorine insecticides","adipose",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"135",135,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Endosulfan sulfate","organochlorine insecticides","adipose",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"136",136,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Aldrin","organochlorine insecticides","adipose",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"137",137,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Endrin","organochlorine insecticides","adipose",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
