"","publication year","Reference","ID","study period","country","English name","scientific name","subject type","toxicant specific","toxicant group","sample type","group","sample size","no. exposed","OR if given, proportion exposed","Age Class","Sex","concentration level estimate type","concentration (ND for non-detects)","Detection limit (if reported)","SD of concentration","minimum","maximum","unit of measure","wet/dry weight?","sublethal effects assessed?","sublethal specific","sublethal type","Notes"
"18",2018,"Byholm et al. 2018",97,"2013","Finland","European Honey-buzzard","Pernis apivorus","wild","Imidacloprid","pesticides","blood",NA,2,"NA","0.5","adult","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no",NA,NA,NA
"19",2019,"Gómez-Ramírez et al. 2019",100,"2003-2007","Spain","Eurasian Eagle-owl","Bubo bubo","wild","a-HCH","organochlorine insecticides","blood",NA,256,"NA","0.125","nestling","unknown/mixed","arithmetic mean","0.32","NA","1.78","not detected","21.55","µg L-1","NA","no",NA,NA,NA
"20",2019,"Gómez-Ramírez et al. 2019",100,"2003-2007","Spain","Eurasian Eagle-owl","Bubo bubo","wild","b-HCH","organochlorine insecticides","blood",NA,256,"NA","0.7","nestling","unknown/mixed","arithmetic mean","0.01","NA","0.08","not detected","0.91","µg L-1","NA","no",NA,NA,NA
"21",2019,"Gómez-Ramírez et al. 2019",100,"2003-2007","Spain","Eurasian Eagle-owl","Bubo bubo","wild","g-HCH","organochlorine insecticides","blood",NA,256,"NA","0.17599999999999999","nestling","unknown/mixed","arithmetic mean","0.99","NA","6.32","not detected","68.459999999999994","µg L-1","NA","no",NA,NA,NA
"22",2019,"Gómez-Ramírez et al. 2019",100,"2003-2007","Spain","Eurasian Eagle-owl","Bubo bubo","wild","aldrin","organochlorine insecticides","blood",NA,256,"NA","4.7E-2","nestling","unknown/mixed","arithmetic mean","0.13","NA","0.88","not detected","8.1999999999999993","µg L-1","NA","no",NA,NA,NA
"23",2019,"Gómez-Ramírez et al. 2019",100,"2003-2007","Spain","Eurasian Eagle-owl","Bubo bubo","wild","Dieldrin","organochlorine insecticides","blood",NA,256,"NA","7.3999999999999996E-2","nestling","unknown/mixed","arithmetic mean","3.25","NA","22.12","not detected","246.5","µg L-1","NA","no",NA,NA,NA
"24",2019,"Gómez-Ramírez et al. 2019",100,"2003-2007","Spain","Eurasian Eagle-owl","Bubo bubo","wild","Endrin","organochlorine insecticides","blood",NA,256,"NA","6.25E-2","nestling","unknown/mixed","arithmetic mean","0.17","NA","1.0900000000000001","not detected","12.03","µg L-1","NA","no",NA,NA,NA
"25",2019,"Gómez-Ramírez et al. 2019",100,"2003-2007","Spain","Eurasian Eagle-owl","Bubo bubo","wild","heptachlor","organochlorine insecticides","blood",NA,256,"NA","8.5999999999999993E-2","nestling","unknown/mixed","arithmetic mean","0.41","NA","2.15","not detected","17.510000000000002","µg L-1","NA","no",NA,NA,NA
"26",2019,"Gómez-Ramírez et al. 2019",100,"2003-2007","Spain","Eurasian Eagle-owl","Bubo bubo","wild","heptachlor epoxide (trans)","organochlorine insecticides","blood",NA,256,"NA","0.09","nestling","unknown/mixed","arithmetic mean","0.19","NA","0.97","not detected","8.7899999999999991","µg L-1","NA","no",NA,NA,NA
"27",2019,"Gómez-Ramírez et al. 2019",100,"2003-2007","Spain","Eurasian Eagle-owl","Bubo bubo","wild","endosulfan I","organochlorine insecticides","blood",NA,256,"NA","0.14449999999999999","nestling","unknown/mixed","arithmetic mean","5.61","NA","30.37","not detected","418.08","µg L-1","NA","no",NA,NA,NA
"28",2019,"Gómez-Ramírez et al. 2019",100,"2003-2007","Spain","Eurasian Eagle-owl","Bubo bubo","wild","endosulfan II","organochlorine insecticides","blood",NA,256,"NA","0.13669999999999999","nestling","unknown/mixed","arithmetic mean","0.67","NA","2.83","not detected","31.51","µg L-1","NA","no",NA,NA,NA
"29",2019,"Gómez-Ramírez et al. 2019",100,"2003-2007","Spain","Eurasian Eagle-owl","Bubo bubo","wild","DDT","organochlorine insecticides","blood",NA,256,"NA","5.6000000000000001E-2","nestling","unknown/mixed","arithmetic mean","0.56999999999999995","NA","5.95","not detected","93.54","µg L-1","NA","no",NA,NA,NA
"30",2019,"Gómez-Ramírez et al. 2019",100,"2003-2007","Spain","Eurasian Eagle-owl","Bubo bubo","wild","DDD","organochlorine insecticides","blood",NA,256,"NA","4.2999999999999997E-2","nestling","unknown/mixed","arithmetic mean","0.12","NA","0.73","not detected","9.14","µg L-1","NA","no",NA,NA,NA
"31",2019,"Gómez-Ramírez et al. 2019",100,"2003-2007","Spain","Eurasian Eagle-owl","Bubo bubo","wild","DDE","organochlorine insecticides","blood",NA,256,"NA","0.16020000000000001","nestling","unknown/mixed","arithmetic mean","1.8","NA","8.68","not detected","64.91","µg L-1","NA","no",NA,NA,NA
"32",1994,"Falkenberg et al. 1994",99,NA,"Australia","Peregrine Falcon","Falco peregrinus","museum specimen","DDT","organochlorine insecticides","eggs",NA,23,"NA","NA","NA","unknown/mixed","arithmetic mean","1.82","NA","NA","NA","NA","mg kg-1","NA","yes",NA,"fecundity",NA
"33",1994,"Falkenberg et al. 1994",99,NA,"Australia","White-bellied Sea-eagle","Haliaeetus leucocephalus","museum specimen","DDT","organochlorine insecticides","eggs",NA,6,"NA","NA","NA","unknown/mixed","arithmetic mean","1.07","NA","NA","NA","NA","mg kg-1","NA","yes",NA,"fecundity",NA
"34",1994,"Falkenberg et al. 1994",99,NA,"Australia","Osprey","Pandion haliaetus","museum specimen","DDT","organochlorine insecticides","eggs",NA,10,"NA","NA","NA","unknown/mixed","arithmetic mean","0.11","NA","NA","NA","NA","mg kg-1","NA","yes",NA,"fecundity",NA
"35",2002,"Helander et al. 2002",90,"1965-1969","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","PCBs","eggs","Baltic sea coast",6,"NA","NA","NA","unknown/mixed","geometric mean","743","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"36",2002,"Helander et al. 2002",90,"1965-1969","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Baltic sea coast",6,"NA","NA","NA","unknown/mixed","geometric mean","770","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"37",2002,"Helander et al. 2002",90,"1970–1974","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","eggs","Baltic sea coast",27,"NA","NA","NA","unknown/mixed","geometric mean","710","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"38",2002,"Helander et al. 2002",90,"1970–1974","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Baltic sea coast",27,"NA","NA","NA","unknown/mixed","geometric mean","1100","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"39",2002,"Helander et al. 2002",90,"1975–1979","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","eggs","Baltic sea coast",31,"NA","NA","NA","unknown/mixed","geometric mean","560","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"40",2002,"Helander et al. 2002",90,"1975–1979","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Baltic sea coast",31,"NA","NA","NA","unknown/mixed","geometric mean","1000","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"41",2002,"Helander et al. 2002",90,"1980–1984","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","eggs","Baltic sea coast",18,"NA","NA","NA","unknown/mixed","geometric mean","400","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"42",2002,"Helander et al. 2002",90,"1980–1984","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Baltic sea coast",18,"NA","NA","NA","unknown/mixed","geometric mean","1000","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"43",2002,"Helander et al. 2002",90,"1985–1989","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","eggs","Baltic sea coast",31,"NA","NA","NA","unknown/mixed","geometric mean","250","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"44",2002,"Helander et al. 2002",90,"1985–1989","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Baltic sea coast",31,"NA","NA","NA","unknown/mixed","geometric mean","740","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"45",2002,"Helander et al. 2002",90,"1990–1994","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","eggs","Baltic sea coast",17,"NA","NA","NA","unknown/mixed","geometric mean","170","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"46",2002,"Helander et al. 2002",90,"1990–1994","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Baltic sea coast",17,"NA","NA","NA","unknown/mixed","geometric mean","540","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"47",2002,"Helander et al. 2002",90,"1995–1997","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","eggs","Baltic sea coast",5,"NA","NA","NA","unknown/mixed","geometric mean","110","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"48",2002,"Helander et al. 2002",90,"1995–1997","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Baltic sea coast",5,"NA","NA","NA","unknown/mixed","geometric mean","390","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"49",2002,"Helander et al. 2002",90,"1966","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","eggs","Baltic sea coast",1,"NA","NA","NA","unknown/mixed","geometric mean","250","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"50",2002,"Helander et al. 2002",90,"1966","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Baltic sea coast",1,"NA","NA","NA","unknown/mixed","geometric mean","310","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"51",2002,"Helander et al. 2002",90,"1977–1979","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","eggs","Lapland",3,"NA","NA","NA","unknown/mixed","geometric mean","130","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"52",2002,"Helander et al. 2002",90,"1977–1979","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Lapland",3,"NA","NA","NA","unknown/mixed","geometric mean","250","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"53",2002,"Helander et al. 2002",90,"1980–1984","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","eggs","Lapland",10,"NA","NA","NA","unknown/mixed","geometric mean","57","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"54",2002,"Helander et al. 2002",90,"1980–1984","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Lapland",10,"NA","NA","NA","unknown/mixed","geometric mean","200","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"55",2002,"Helander et al. 2002",90,"1985–1989","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","eggs","Lapland",5,"NA","NA","NA","unknown/mixed","geometric mean","33","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"56",2002,"Helander et al. 2002",90,"1985–1989","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Lapland",5,"NA","NA","NA","unknown/mixed","geometric mean","130","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"57",2002,"Helander et al. 2002",90,"1990–1994","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","eggs","Lapland",10,"NA","NA","NA","unknown/mixed","geometric mean","20","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"58",2002,"Helander et al. 2002",90,"1990–1994","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Lapland",10,"NA","NA","NA","unknown/mixed","geometric mean","76","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"59",2002,"Helander et al. 2002",90,"1995–1997","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","eggs","Lapland",6,"NA","NA","NA","unknown/mixed","geometric mean","14","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"60",2002,"Helander et al. 2002",90,"1995–1997","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Lapland",6,"NA","NA","NA","unknown/mixed","geometric mean","51","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"61",2002,"Helander et al. 2002",90,"1985–1989","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","eggs","Inland central Sweden",3,"NA","NA","NA","unknown/mixed","geometric mean","110","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"62",2002,"Helander et al. 2002",90,"1985–1989","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Inland central Sweden",3,"NA","NA","NA","unknown/mixed","geometric mean","310","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"63",2002,"Helander et al. 2002",90,"1990–1994","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","eggs","Inland central Sweden",4,"NA","NA","NA","unknown/mixed","geometric mean","49","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"64",2002,"Helander et al. 2002",90,"1990–1994","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Inland central Sweden",4,"NA","NA","NA","unknown/mixed","geometric mean","190","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"65",2002,"Helander et al. 2002",90,"1995–1997","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","eggs","Inland central Sweden",2,"NA","NA","NA","unknown/mixed","geometric mean","78","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"66",2002,"Helander et al. 2002",90,"1995–1997","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","tot-PCB","PCBs","eggs","Inland central Sweden",2,"NA","NA","NA","unknown/mixed","geometric mean","560","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"67",1998,"Clark et al. 1998",91,"1993","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDD","organochlorine insecticides","eggs","New Jersey-Delaware Bay drainage-Raccoon Creek",1,"NA","NA","NA","unknown/mixed","n=1","2.2999999999999998","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"68",1998,"Clark et al. 1998",91,"1994","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDD","organochlorine insecticides","eggs","New Jersey-Delaware Bay drainage-Raccoon Creek",1,"NA","NA","NA","unknown/mixed","n=1","2.8","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"69",1998,"Clark et al. 1998",91,"1995","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDD","organochlorine insecticides","eggs","New Jersey-Delaware Bay drainage-Raccoon Creek",1,"NA","NA","NA","unknown/mixed","n=1","2.6","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"70",1998,"Clark et al. 1998",91,"1997","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDD","organochlorine insecticides","eggs","New Jersey-Delaware Bay drainage-Raccoon Creek",1,"NA","NA","NA","unknown/mixed","n=1","2.1","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"71",1998,"Clark et al. 1998",91,"1997","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDD","organochlorine insecticides","eggs","New Jersey-Delaware Bay drainage-Raccoon Creek",1,"NA","NA","NA","unknown/mixed","n=1","0.62","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"72",1998,"Clark et al. 1998",91,"1993","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDE","organochlorine insecticides","eggs","New Jersey-Delaware Bay drainage-Raccoon Creek",1,"NA","NA","NA","unknown/mixed","n=1","12","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"73",1998,"Clark et al. 1998",91,"1994","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDE","organochlorine insecticides","eggs","New Jersey-Delaware Bay drainage-Raccoon Creek",1,"NA","NA","NA","unknown/mixed","n=1","14","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"74",1998,"Clark et al. 1998",91,"1995","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDE","organochlorine insecticides","eggs","New Jersey-Delaware Bay drainage-Raccoon Creek",1,"NA","NA","NA","unknown/mixed","n=1","18","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"75",1998,"Clark et al. 1998",91,"1997","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDE","organochlorine insecticides","eggs","New Jersey-Delaware Bay drainage-Raccoon Creek",1,"NA","NA","NA","unknown/mixed","n=1","18","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"76",1998,"Clark et al. 1998",91,"1997","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDE","organochlorine insecticides","eggs","New Jersey-Delaware Bay drainage-Raccoon Creek",1,"NA","NA","NA","unknown/mixed","n=1","6.3","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"77",1998,"Clark et al. 1998",91,"1993","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDT","organochlorine insecticides","eggs","New Jersey-Delaware Bay drainage-Raccoon Creek",1,"NA","NA","NA","unknown/mixed","n=1","0.03","NA","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"78",1998,"Clark et al. 1998",91,"1994","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDT","organochlorine insecticides","eggs","New Jersey-Delaware Bay drainage-Raccoon Creek",1,"NA","NA","NA","unknown/mixed","n=1","NA","<0.010","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"79",1998,"Clark et al. 1998",91,"1995","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDT","organochlorine insecticides","eggs","New Jersey-Delaware Bay drainage-Raccoon Creek",1,"NA","NA","NA","unknown/mixed","n=1","NA","<0.010","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"80",1998,"Clark et al. 1998",91,"1997","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDT","organochlorine insecticides","eggs","New Jersey-Delaware Bay drainage-Raccoon Creek",1,"NA","NA","NA","unknown/mixed","n=1","NA","<0.010","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"81",1998,"Clark et al. 1998",91,"1997","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDT","organochlorine insecticides","eggs","New Jersey-Delaware Bay drainage-Raccoon Creek",1,"NA","NA","NA","unknown/mixed","n=1","NA","<0.010","NA","NA","NA","µg/g","wet","yes",NA,"fecundity",NA
"82",2019,"Dykstra et al. 2019",93,"2006-2015","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDE","organochlorine insecticides","blood","Apostle Islands",58,"NA","NA","nestling","unknown/mixed","geometric mean","10.6","NA","NA","NA","NA","µg/L","wet","yes",NA,"fecundity",NA
"83",2019,"Dykstra et al. 2019",93,"2006-2015","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDE","organochlorine insecticides","blood","south shore of Lake Superior in Wisconsin",16,"NA","NA","nestling","unknown/mixed","geometric mean","7.69","NA","NA","NA","NA","µg/L","wet","yes",NA,"fecundity",NA
"84",2019,"Dykstra et al. 2019",93,"2006-2015","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDE","organochlorine insecticides","blood","upper Saint Croix National Scenic River",65,"NA","NA","nestling","unknown/mixed","geometric mean","2.86","NA","NA","NA","NA","µg/L","wet","yes",NA,"fecundity",NA
"85",2019,"Dykstra et al. 2019",93,"2006-2015","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDE","organochlorine insecticides","blood","lower Saint Croix National Scenic River",64,"NA","NA","nestling","unknown/mixed","geometric mean","6.9","NA","NA","NA","NA","µg/L","wet","yes",NA,"fecundity",NA
"86",2019,"Dykstra et al. 2019",93,"2006-2015","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDE","organochlorine insecticides","blood","Mississippi National River and Recreation Area",138,"NA","NA","nestling","unknown/mixed","geometric mean","8.82","NA","NA","NA","NA","µg/L","wet","yes",NA,"fecundity",NA
"87",2019,"Dykstra et al. 2019",93,"2006-2015","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","DDE","organochlorine insecticides","blood","pools 3 and 4 of the Mississippi River",33,"NA","NA","nestling","unknown/mixed","geometric mean","7.08","NA","NA","NA","NA","µg/L","wet","yes",NA,"fecundity",NA
"88",2019,"Dykstra et al. 2019",93,"2006-2015","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","Hg","heavy metals","body feathers","Apostle Islands",93,"NA","NA","nestling","unknown/mixed","geometric mean","2.69","NA","NA","NA","NA","µg/g","dry","yes",NA,"fecundity",NA
"89",2019,"Dykstra et al. 2019",93,"2006-2015","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","Hg","heavy metals","body feathers","south shore of Lake Superior in Wisconsin",16,"NA","NA","nestling","unknown/mixed","geometric mean","5.25","NA","NA","NA","NA","µg/g","dry","yes",NA,"fecundity",NA
"90",2019,"Dykstra et al. 2019",93,"2006-2015","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","Hg","heavy metals","body feathers","upper Saint Croix National Scenic River",88,"NA","NA","nestling","unknown/mixed","geometric mean","6.66","NA","NA","NA","NA","µg/g","dry","yes",NA,"fecundity",NA
"91",2019,"Dykstra et al. 2019",93,"2006-2015","United States of America","Bald Eagle","Haliaeetus leucocephalus","wild","Hg","heavy metals","body feathers","lower Saint Croix National Scenic River",120,"NA","NA","nestling","unknown/mixed","geometric mean","4.62","NA","NA","NA","NA","µg/g","dry","yes",NA,"fecundity",NA
